,job ID,job title,Company,type,time,location,area,classification,subClassification,potential salary (p.h.)
0,50582301,Administrator,Private Advertiser,promoted,, Bay of Plenty, Tauranga, Administration & Office Support, Office Management,
1,50620889,Receptionist,Avenues Orthodontics,promoted,, Bay of Plenty, Tauranga, Administration & Office Support, Receptionists,
2,50622169,Prosecutions Support Officer,New Zealand Police,standard,4, Auckland,, Administration & Office Support, Other,
3,50639620,Early Childhood Centre Administrator,Kew Pacific Island Early Learning Centre,standard,0, Southland, Invercargill, Administration & Office Support, Administrative Assistants,
4,50622432,Business Support Administrator,Private Advertiser,standout,4, Canterbury, Christchurch, Administration & Office Support, Client & Sales Administration,
5,50640393,Support Officer,Ministry for Primary Industries,standout,270, Northland, Whangarei, Administration & Office Support, Administrative Assistants,
6,50615674,Support Officer,"Ministry of Business, Innovation and Employment",standout,5, Wellington, Wellington Central, Administration & Office Support, Other,
7,50640166,office administrator,Hepburn Electrical Ltd,standard,210, Bay of Plenty, Rotorua, Administration & Office Support, Administrative Assistants,
8,50639248,Office Administrator,Webster Holland Ltd,standard,0, Bay of Plenty, Tauranga, Administration & Office Support, Administrative Assistants,
9,50629393,Administration Officer,New Zealand Police,standard,3, Canterbury,, Administration & Office Support, Other,
10,50600186,Administration Officer,Department of Conservation,standout,7, West Coast, Rest of West Coast, Administration & Office Support, Administrative Assistants,
11,50616188,Data Entry,Triple One Care,standard,5, Tasman, Nelson, Administration & Office Support, Data Entry & Word Processing,
12,50597141,Office Admin Assistant (10hrs per week),UIV Limited - Premier Insulation North Central,standard,8, Auckland, Manukau & East Auckland,,,20
13,50632818,Office Administrator,Wraight and Associates Ltd.,standard,3, Wellington, Wellington Central, Administration & Office Support, Office Management,
14,50632185,Office Administrator,Morgan & Pollard Landscapes Ltd,standout,3, Canterbury, Rest of Canterbury, Administration & Office Support, Administrative Assistants,
15,50614282,Customer Service Officer,CM Trailer Parts,standout,5, Canterbury, Timaru & South Canterbury, Administration & Office Support, Client & Sales Administration,
16,50638817,Administration Assistant - Mt Wellington,Harvey Norman,standout,0, Auckland, Auckland Central, Administration & Office Support, Administrative Assistants,
17,50610748,Part-time Health & Disability Administrative Assistant,LIFEWISE,standout,6, Auckland, Auckland Central,,,22.5
18,50633756,"Office Coordinator, Whangarei Youth Space",Whangarei Youth Space,standard,3, Northland, Whangarei, Administration & Office Support, Administrative Assistants,
19,50604829,Administrator,Private Advertiser,standard,7, Manawatu, Rest of Manawatu, Administration & Office Support, Other,
20,50637525,Administration Officer - Part Time,HiFlo Pumps Ltd,standout,2, Auckland, Auckland Central, Administration & Office Support, Administrative Assistants,
21,50631111,Part-time Admin/Accounts Person,People Passion,standout,3, Auckland, Papakura & Franklin, Administration & Office Support, Administrative Assistants,
22,50591178,Business Support Administrator,S&L Land Development and Design Specialists,promoted,, Bay of Plenty, Tauranga, Administration & Office Support, Administrative Assistants,
23,50556340,Reception/Administrator,Fishing and Leisure Group Limited,promoted,, Auckland, Rodney & North Shore,,,20.5
24,50632905,Office Co-Ordinator,Paeroa Farm Services Ltd,standard,3, Waikato, Rest of Waikato, Administration & Office Support, Office Management,
25,50621389,Office Administrator,Brant Homes Limited,standard,4, Auckland, Manukau & East Auckland,,,22.5
26,50637747,Administration & Customer Service,ACE,standard,2, Auckland, Auckland Central, Administration & Office Support, Administrative Assistants,
27,50631960,Administrator,EnviroWaste Services Limited,standout,3, Canterbury, Christchurch, Administration & Office Support, Administrative Assistants,
28,50636107,RECEPTIONIST / ADMINISTRATOR,PROGRESSIVE MEATS LIMITED,standout,3, Hawkes Bay, Hastings, Administration & Office Support, Administrative Assistants,
29,50638937,Administrator - Street to Home,Auckland City Mission,standout,0, Auckland, Auckland Central, Administration & Office Support, Administrative Assistants,
30,50606027,Administrative Support,Commercial and Rural Insurance Brokers,standard,6, Otago, Queenstown & Wanaka, Administration & Office Support, Administrative Assistants,
31,50633231,Medical Receptionist,Brooklyn Medical Centre,standard,3, Wellington, Wellington Central, Administration & Office Support, Administrative Assistants,
32,50620963,Receptionist / Office Administration,foley group architecture,standout,4, Canterbury, Christchurch, Administration & Office Support, Receptionists,
33,50617769,People and Culture Administrator,OceanaGold (New Zealand) Ltd,standout,5, Otago, Rest of Otago, Administration & Office Support, Client & Sales Administration,
34,50628770,Senior Support Officer,WorkSafe New Zealand,standout,3, Wellington, Wellington Central, Administration & Office Support, Administrative Assistants,
35,50613404,Administrator,Wise Group,standout,5, Waikato, Hamilton, Administration & Office Support, Administrative Assistants,
